"ride_id","service_start_to_end","diff_request_accept","diff_accept_pickup","diff_accept_cancel","diff_dropoff_pay"
"3000750","89.00","3.00","15.00","","0.00"
"3000778","109.00","8.00","14.00","","0.00"
"3000802","84.00","9.00","7.00","","0.00"
"3000806","60.00","7.00","11.00","","0.00"
"3000819","82.00","9.00","11.00","","0.00"
"3000835","81.00","3.00","8.00","","0.00"
"3000849","103.00","3.00","11.00","","0.00"
"3000859","73.00","2.00","7.00","","0.00"
"3000861","54.00","5.00","12.00","","0.00"
"3000871","103.00","2.00","13.00","","0.00"
"3000875","94.00","5.00","15.00","","0.00"
"3000886","47.00","5.00","14.00","","0.00"
"3000901","89.00","4.00","2.00","","0.00"
"3000907","79.00","7.00","15.00","","0.00"
"3000911","61.00","7.00","4.00","","0.00"
"3000929","101.00","9.00","5.00","","0.00"
"3000967","43.00","6.00","15.00","","0.00"
"3000987","48.00","2.00","7.00","","0.00"
"3000990","47.00","9.00","3.00","","0.00"
"3000993","56.00","10.00","12.00","","0.00"
"3000996","80.00","7.00","5.00","","0.00"
"3001009","66.00","2.00","14.00","","0.00"
"3001013","66.00","10.00","5.00","","0.00"
"3001027","46.00","3.00","11.00","","0.00"
"3001038","72.00","5.00","2.00","","0.00"
"3001051","96.00","5.00","15.00","","0.00"
"3001057","80.00","4.00","11.00","","0.00"
"3001082","41.00","10.00","9.00","","0.00"
"3001114","47.00","10.00","14.00","","0.00"
"3001120","97.00","4.00","5.00","","0.00"
"3001121","37.00","9.00","5.00","","0.00"
"3001133","91.00","10.00","11.00","","0.00"
"3001143","51.00","8.00","14.00","","0.00"
"3001152","53.00","5.00","13.00","","0.00"
"3001172","57.00","8.00","10.00","","0.00"
"3001203","71.00","6.00","10.00","","0.00"
"3001226","40.00","10.00","15.00","","0.00"
"3001227","82.00","3.00","6.00","","0.00"
"3001230","63.00","10.00","13.00","","0.00"
"3001235","89.00","9.00","15.00","","0.00"
"3001256","98.00","3.00","14.00","","0.00"
"3001277","46.00","10.00","3.00","","0.00"
"3001279","53.00","4.00","6.00","","0.00"
"3001290","113.00","8.00","15.00","","0.00"
"3001293","53.00","8.00","3.00","","0.00"
"3001296","84.00","3.00","11.00","","0.00"
"3001308","25.00","6.00","3.00","","0.00"
"3001311","95.00","2.00","6.00","","0.00"
"3001317","81.00","2.00","8.00","","0.00"
"3001901","23.00","4.00","3.00","","0.00"
"3001330","50.00","2.00","12.00","","0.00"
"3001347","54.00","8.00","10.00","","0.00"
"3001348","67.00","5.00","3.00","","0.00"
"3001350","96.00","2.00","7.00","","0.00"
"3001370","64.00","6.00","6.00","","0.00"
"3001373","48.00","4.00","4.00","","0.00"
"3001390","46.00","6.00","8.00","","0.00"
"3001411","87.00","10.00","2.00","","0.00"
"3001417","91.00","10.00","14.00","","0.00"
"3001430","53.00","5.00","3.00","","0.00"
"3001434","67.00","10.00","13.00","","0.00"
"3001448","83.00","6.00","8.00","","0.00"
"3001454","61.00","10.00","15.00","","0.00"
"3001461","103.00","9.00","12.00","","0.00"
"3001478","90.00","4.00","13.00","","0.00"
"3001480","49.00","6.00","9.00","","0.00"
"3001491","89.00","9.00","8.00","","0.00"
"3001517","91.00","8.00","6.00","","0.00"
"3001536","50.00","5.00","4.00","","0.00"
"3001547","66.00","7.00","4.00","","0.00"
"3001559","84.00","6.00","8.00","","0.00"
"3001593","50.00","8.00","5.00","","0.00"
"3001594","30.00","4.00","5.00","","0.00"
"3001595","110.00","5.00","15.00","","0.00"
"3001596","95.00","7.00","8.00","","0.00"
"3001605","63.00","2.00","5.00","","0.00"
"3001620","85.00","6.00","10.00","","0.00"
"3001628","75.00","9.00","12.00","","0.00"
"3001637","90.00","10.00","12.00","","0.00"
"3001644","62.00","2.00","15.00","","0.00"
"3001657","92.00","7.00","9.00","","0.00"
"3001668","92.00","5.00","8.00","","0.00"
"3001690","94.00","2.00","6.00","","0.00"
"3001691","80.00","4.00","8.00","","0.00"
"3001694","43.00","9.00","4.00","","0.00"
"3001721","50.00","9.00","2.00","","0.00"
"3001735","35.00","9.00","7.00","","0.00"
"3001778","66.00","2.00","7.00","","0.00"
"3001779","55.00","4.00","15.00","","0.00"
"3001792","69.00","9.00","10.00","","0.00"
"3001809","71.00","3.00","11.00","","0.00"
"3001810","42.00","9.00","11.00","","0.00"
"3001845","102.00","3.00","15.00","","0.00"
"3001849","107.00","6.00","12.00","","0.00"
"3001861","97.00","10.00","7.00","","0.00"
"3001867","49.00","9.00","2.00","","0.00"
"3001869","74.00","4.00","5.00","","0.00"
"3001922","25.00","3.00","3.00","","0.00"
"3001928","101.00","7.00","14.00","","0.00"
"3001966","88.00","9.00","3.00","","0.00"
"3001970","69.00","3.00","4.00","","0.00"
"3001976","83.00","4.00","15.00","","0.00"
"3002040","53.00","8.00","7.00","","0.00"
"3002045","42.00","4.00","5.00","","0.00"
"3002058","69.00","2.00","11.00","","0.00"
"3002060","81.00","7.00","5.00","","0.00"
"3002092","73.00","9.00","8.00","","0.00"
"3002102","36.00","5.00","7.00","","0.00"
"3002111","80.00","6.00","10.00","","0.00"
"3002132","41.00","5.00","9.00","","0.00"
"3002165","90.00","8.00","15.00","","0.00"
"3002174","75.00","4.00","8.00","","0.00"
"3002207","47.00","6.00","2.00","","0.00"
"3002223","45.00","9.00","13.00","","0.00"
"3002266","103.00","4.00","12.00","","0.00"
"3002273","37.00","4.00","13.00","","0.00"
"3002274","42.00","4.00","14.00","","0.00"
"3002280","83.00","10.00","10.00","","0.00"
"3002331","35.00","4.00","13.00","","0.00"
"3002332","50.00","4.00","7.00","","0.00"
"3002334","66.00","5.00","3.00","","0.00"
"3002340","35.00","7.00","13.00","","0.00"
"3002349","96.00","6.00","9.00","","0.00"
"3002353","48.00","2.00","4.00","","0.00"
"3002361","45.00","3.00","8.00","","0.00"
"3002375","88.00","7.00","5.00","","0.00"
"3002381","79.00","3.00","3.00","","0.00"
"3002387","50.00","2.00","8.00","","0.00"
"3002401","85.00","6.00","14.00","","0.00"
"3002418","57.00","6.00","7.00","","0.00"
"3002421","99.00","4.00","15.00","","0.00"
"3002453","80.00","2.00","4.00","","0.00"
"3002455","67.00","10.00","10.00","","0.00"
"3002468","46.00","3.00","14.00","","0.00"
"3002475","39.00","9.00","12.00","","0.00"
"3002486","98.00","5.00","7.00","","0.00"
"3002487","38.00","9.00","3.00","","0.00"
"3002511","40.00","10.00","11.00","","0.00"
"3002533","66.00","10.00","13.00","","0.00"
"3002540","50.00","7.00","13.00","","0.00"
"3002543","48.00","3.00","5.00","","0.00"
"3002572","99.00","9.00","11.00","","0.00"
"3002595","58.00","4.00","9.00","","0.00"
"3002598","83.00","7.00","13.00","","0.00"
"3002603","37.00","8.00","6.00","","0.00"
"3002618","83.00","4.00","14.00","","0.00"
"3002621","61.00","5.00","7.00","","0.00"
"3002632","52.00","2.00","2.00","","0.00"
"3002635","48.00","8.00","9.00","","0.00"
"3002638","27.00","5.00","6.00","","0.00"
"3002641","35.00","5.00","2.00","","0.00"
"3002648","41.00","6.00","12.00","","0.00"
"3002649","90.00","7.00","11.00","","0.00"
"3002655","41.00","6.00","3.00","","0.00"
"3002661","86.00","5.00","2.00","","0.00"
"3002687","55.00","8.00","10.00","","0.00"
"3002715","32.00","4.00","6.00","","0.00"
"3002726","50.00","8.00","8.00","","0.00"
"3002741","55.00","5.00","2.00","","0.00"
"3002769","101.00","8.00","11.00","","0.00"
"3002778","54.00","4.00","5.00","","0.00"
"3002783","65.00","8.00","3.00","","0.00"
"3002787","43.00","5.00","8.00","","0.00"
"3002795","106.00","9.00","14.00","","0.00"
"3002841","39.00","9.00","3.00","","0.00"
"3002888","53.00","3.00","3.00","","0.00"
"3002891","101.00","10.00","10.00","","0.00"
"3002898","99.00","5.00","4.00","","0.00"
"3002907","48.00","10.00","14.00","","0.00"
"3002908","61.00","2.00","13.00","","0.00"
"3002915","94.00","4.00","12.00","","0.00"
"3002926","89.00","9.00","13.00","","0.00"
"3002978","80.00","5.00","10.00","","0.00"
"3002981","79.00","6.00","14.00","","0.00"
"3002992","86.00","9.00","3.00","","0.00"
"3002994","30.00","2.00","2.00","","0.00"
"3002996","67.00","3.00","8.00","","0.00"
"3003005","73.00","5.00","8.00","","0.00"
"3003011","101.00","5.00","8.00","","0.00"
"3003012","30.00","4.00","8.00","","0.00"
"3003015","69.00","6.00","15.00","","0.00"
"3003024","74.00","10.00","15.00","","0.00"
"3003046","40.00","5.00","10.00","","0.00"
"3003051","96.00","9.00","2.00","","0.00"
"3003052","34.00","3.00","8.00","","0.00"
"3003065","30.00","7.00","4.00","","0.00"
"3003071","67.00","8.00","6.00","","0.00"
"3003096","65.00","7.00","6.00","","0.00"
"3003110","78.00","10.00","10.00","","0.00"
"3003160","73.00","9.00","15.00","","0.00"
"3003167","61.00","4.00","10.00","","0.00"
"3015152","59.00","8.00","6.00","","0.00"
"3003204","75.00","2.00","13.00","","0.00"
"3003219","67.00","6.00","9.00","","0.00"
"3003233","64.00","3.00","2.00","","0.00"
"3003239","62.00","10.00","15.00","","0.00"
"3003251","103.00","7.00","10.00","","0.00"
"3003271","52.00","10.00","12.00","","0.00"
"3003278","75.00","6.00","4.00","","0.00"
"3003304","36.00","7.00","13.00","","0.00"
"3003324","112.00","10.00","14.00","","0.00"
"3003326","93.00","10.00","9.00","","0.00"
"3003331","45.00","5.00","9.00","","0.00"
"3003351","85.00","6.00","11.00","","0.00"
"3003353","77.00","3.00","12.00","","0.00"
"3003374","23.00","4.00","2.00","","0.00"
"3003435","101.00","2.00","14.00","","0.00"
"3003470","30.00","2.00","8.00","","0.00"
"3003505","64.00","5.00","7.00","","0.00"
"3003545","37.00","2.00","5.00","","0.00"
"3003547","63.00","2.00","14.00","","0.00"
"3003548","109.00","7.00","12.00","","0.00"
"3003559","47.00","6.00","6.00","","0.00"
"3003573","75.00","5.00","8.00","","0.00"
"3003575","69.00","8.00","10.00","","0.00"
"3003592","31.00","4.00","11.00","","0.00"
"3003597","97.00","7.00","3.00","","0.00"
"3003632","85.00","9.00","12.00","","0.00"
"3003642","65.00","6.00","15.00","","0.00"
"3003653","35.00","3.00","10.00","","0.00"
"3003667","65.00","5.00","12.00","","0.00"
"3003681","103.00","2.00","14.00","","0.00"
"3003718","45.00","2.00","5.00","","0.00"
"3003719","99.00","6.00","14.00","","0.00"
"3003757","99.00","8.00","14.00","","0.00"
"3003768","72.00","4.00","3.00","","0.00"
"3003772","59.00","5.00","6.00","","0.00"
"3003784","47.00","5.00","13.00","","0.00"
"3003787","48.00","8.00","3.00","","0.00"
"3003791","59.00","6.00","5.00","","0.00"
"3003803","49.00","9.00","2.00","","0.00"
"3003804","81.00","10.00","2.00","","0.00"
"3003806","96.00","10.00","15.00","","0.00"
"3003820","70.00","9.00","13.00","","0.00"
"3003821","99.00","5.00","10.00","","0.00"
"3003822","79.00","2.00","3.00","","0.00"
"3003826","100.00","4.00","6.00","","0.00"
"3003848","87.00","2.00","15.00","","0.00"
"3003863","81.00","4.00","14.00","","0.00"
"3003871","57.00","2.00","6.00","","0.00"
"3003887","88.00","3.00","9.00","","0.00"
"3003890","35.00","5.00","5.00","","0.00"
"3003898","72.00","2.00","6.00","","0.00"
"3003902","101.00","8.00","11.00","","0.00"
"3003913","33.00","7.00","2.00","","0.00"
"3003924","43.00","4.00","10.00","","0.00"
"3003926","101.00","6.00","12.00","","0.00"
"3003947","63.00","10.00","14.00","","0.00"
"3003948","112.00","8.00","15.00","","0.00"
"3003954","24.00","7.00","2.00","","0.00"
"3003979","55.00","6.00","11.00","","0.00"
"3004000","79.00","9.00","12.00","","0.00"
"3004020","55.00","6.00","12.00","","0.00"
"3004102","62.00","3.00","6.00","","0.00"
"3004114","99.00","7.00","10.00","","0.00"
"3004133","73.00","2.00","7.00","","0.00"
"3004168","57.00","4.00","11.00","","0.00"
"3004174","39.00","5.00","14.00","","0.00"
"3004181","87.00","10.00","8.00","","0.00"
"3004194","77.00","10.00","4.00","","0.00"
"3004198","102.00","8.00","10.00","","0.00"
"3004213","34.00","5.00","5.00","","0.00"
"3004254","72.00","2.00","12.00","","0.00"
"3004260","75.00","6.00","15.00","","0.00"
"3004268","57.00","3.00","14.00","","0.00"
"3004277","75.00","10.00","11.00","","0.00"
"3004287","86.00","7.00","15.00","","0.00"
"3004294","76.00","5.00","12.00","","0.00"
"3004307","71.00","7.00","6.00","","0.00"
"3004332","34.00","9.00","5.00","","0.00"
"3004341","32.00","7.00","5.00","","0.00"
"3004351","104.00","8.00","7.00","","0.00"
"3004398","94.00","4.00","2.00","","0.00"
"3004410","39.00","7.00","4.00","","0.00"
"3004418","75.00","2.00","5.00","","0.00"
"3004427","96.00","3.00","10.00","","0.00"
"3004437","50.00","4.00","7.00","","0.00"
"3004457","25.00","5.00","3.00","","0.00"
"3004525","52.00","10.00","5.00","","0.00"
"3004538","104.00","9.00","5.00","","0.00"
"3004563","49.00","8.00","13.00","","0.00"
"3004565","94.00","9.00","15.00","","0.00"
"3004568","42.00","8.00","9.00","","0.00"
"3004570","41.00","7.00","8.00","","0.00"
"3004590","51.00","5.00","7.00","","0.00"
"3004591","74.00","2.00","5.00","","0.00"
"3004608","49.00","9.00","13.00","","0.00"
"3004625","69.00","8.00","11.00","","0.00"
"3004644","46.00","3.00","2.00","","0.00"
"3004670","39.00","2.00","8.00","","0.00"
"3004680","83.00","5.00","14.00","","0.00"
"3004684","96.00","8.00","10.00","","0.00"
"3004691","47.00","8.00","5.00","","0.00"
"3004730","79.00","8.00","12.00","","0.00"
"3004736","42.00","8.00","13.00","","0.00"
"3004740","42.00","2.00","4.00","","0.00"
"3004764","96.00","7.00","9.00","","0.00"
"3004774","98.00","2.00","9.00","","0.00"
"3004809","41.00","4.00","14.00","","0.00"
"3017142","60.00","9.00","4.00","","0.00"
"3004826","87.00","9.00","3.00","","0.00"
"3004828","68.00","9.00","14.00","","0.00"
"3004839","28.00","4.00","9.00","","0.00"
"3004841","33.00","2.00","8.00","","0.00"
"3004849","63.00","3.00","6.00","","0.00"
"3004855","53.00","2.00","9.00","","0.00"
"3004920","110.00","7.00","15.00","","0.00"
"3004925","68.00","5.00","9.00","","0.00"
"3004927","86.00","8.00","10.00","","0.00"
"3004930","55.00","3.00","3.00","","0.00"
"3004933","92.00","9.00","6.00","","0.00"
"3004939","35.00","5.00","11.00","","0.00"
"3004947","75.00","8.00","15.00","","0.00"
"3004971","38.00","7.00","15.00","","0.00"
"3004985","74.00","9.00","2.00","","0.00"
"3004998","101.00","10.00","13.00","","0.00"
"3005022","105.00","6.00","15.00","","0.00"
"3005048","99.00","8.00","5.00","","0.00"
"3005054","87.00","8.00","8.00","","0.00"
"3005090","91.00","8.00","14.00","","0.00"
"3005104","41.00","5.00","15.00","","0.00"
"3005110","83.00","9.00","11.00","","0.00"
"3005120","50.00","2.00","15.00","","0.00"
"3005122","40.00","5.00","15.00","","0.00"
"3005123","79.00","7.00","14.00","","0.00"
"3005145","49.00","7.00","3.00","","0.00"
"3005156","33.00","6.00","5.00","","0.00"
"3005166","74.00","6.00","12.00","","0.00"
"3005168","111.00","10.00","11.00","","0.00"
"3005185","71.00","3.00","14.00","","0.00"
"3005190","57.00","5.00","13.00","","0.00"
"3005197","71.00","3.00","4.00","","0.00"
"3005228","43.00","5.00","15.00","","0.00"
"3005231","95.00","4.00","5.00","","0.00"
"3005253","72.00","4.00","11.00","","0.00"
"3005263","37.00","3.00","4.00","","0.00"
"3005267","76.00","10.00","7.00","","0.00"
"3005288","57.00","5.00","11.00","","0.00"
"3005315","95.00","2.00","3.00","","0.00"
"3005331","42.00","2.00","13.00","","0.00"
"3005358","30.00","3.00","9.00","","0.00"
"3005360","39.00","8.00","10.00","","0.00"
"3005362","28.00","5.00","3.00","","0.00"
"3005372","93.00","2.00","3.00","","0.00"
"3005404","35.00","7.00","8.00","","0.00"
"3005415","38.00","4.00","4.00","","0.00"
"3005444","79.00","4.00","11.00","","0.00"
"3005469","77.00","9.00","12.00","","0.00"
"3005481","101.00","9.00","10.00","","0.00"
"3005505","101.00","2.00","13.00","","0.00"
"3005514","54.00","6.00","15.00","","0.00"
"3005519","94.00","5.00","5.00","","0.00"
"3005522","55.00","10.00","14.00","","0.00"
"3005529","110.00","9.00","13.00","","0.00"
"3005568","83.00","3.00","15.00","","0.00"
"3005599","65.00","6.00","7.00","","0.00"
"3005600","57.00","6.00","6.00","","0.00"
"3005627","89.00","2.00","7.00","","0.00"
"3005630","88.00","4.00","6.00","","0.00"
"3005642","86.00","9.00","2.00","","0.00"
"3005643","76.00","4.00","11.00","","0.00"
"3005665","32.00","4.00","10.00","","0.00"
"3005692","50.00","2.00","10.00","","0.00"
"3005706","59.00","8.00","12.00","","0.00"
"3005717","45.00","4.00","6.00","","0.00"
"3005746","25.00","4.00","6.00","","0.00"
"3005759","31.00","2.00","8.00","","0.00"
"3005782","66.00","3.00","14.00","","0.00"
"3005826","44.00","8.00","13.00","","0.00"
"3005837","85.00","10.00","10.00","","0.00"
"3005840","49.00","6.00","4.00","","0.00"
"3005855","86.00","5.00","3.00","","0.00"
"3005862","51.00","3.00","7.00","","0.00"
"3005879","95.00","3.00","7.00","","0.00"
"3005891","88.00","2.00","4.00","","0.00"
"3005896","93.00","4.00","3.00","","0.00"
"3005916","56.00","5.00","3.00","","0.00"
"3005922","29.00","2.00","3.00","","0.00"
"3005947","69.00","7.00","11.00","","0.00"
"3005963","68.00","4.00","9.00","","0.00"
"3005966","63.00","4.00","9.00","","0.00"
"3005968","37.00","7.00","12.00","","0.00"
"3005992","48.00","3.00","10.00","","0.00"
"3005998","71.00","3.00","4.00","","0.00"
"3006001","89.00","9.00","6.00","","0.00"
"3006020","102.00","9.00","9.00","","0.00"
"3006023","60.00","8.00","5.00","","0.00"
"3006025","103.00","7.00","8.00","","0.00"
"3006044","64.00","8.00","6.00","","0.00"
"3006104","85.00","7.00","9.00","","0.00"
"3006113","104.00","8.00","14.00","","0.00"
"3006153","83.00","3.00","9.00","","0.00"
"3006174","50.00","10.00","10.00","","0.00"
"3006175","58.00","4.00","15.00","","0.00"
"3006181","34.00","7.00","8.00","","0.00"
"3006194","71.00","10.00","12.00","","0.00"
"3006202","57.00","5.00","5.00","","0.00"
"3006211","65.00","4.00","3.00","","0.00"
"3006245","62.00","3.00","10.00","","0.00"
"3006254","39.00","7.00","10.00","","0.00"
"3006283","105.00","10.00","11.00","","0.00"
"3006284","33.00","2.00","12.00","","0.00"
"3006366","68.00","9.00","2.00","","0.00"
"3006368","37.00","10.00","4.00","","0.00"
"3006369","40.00","2.00","4.00","","0.00"
"3006404","51.00","7.00","14.00","","0.00"
"3006421","50.00","7.00","2.00","","0.00"
"3006500","67.00","8.00","13.00","","0.00"
"3006509","87.00","3.00","4.00","","0.00"
"3006529","58.00","5.00","5.00","","0.00"
"3006535","92.00","3.00","12.00","","0.00"
"3006581","45.00","5.00","7.00","","0.00"
"3006602","77.00","6.00","11.00","","0.00"
"3006645","74.00","8.00","8.00","","0.00"
"3006650","90.00","3.00","3.00","","0.00"
"3006657","39.00","2.00","9.00","","0.00"
"3006661","101.00","10.00","13.00","","0.00"
"3006668","37.00","2.00","3.00","","0.00"
"3006694","104.00","9.00","13.00","","0.00"
"3006701","94.00","2.00","6.00","","0.00"
"3006712","84.00","3.00","5.00","","0.00"
"3006714","61.00","5.00","6.00","","0.00"
"3006731","34.00","2.00","14.00","","0.00"
"3006736","78.00","3.00","5.00","","0.00"
"3006746","55.00","2.00","9.00","","0.00"
"3006768","58.00","6.00","15.00","","0.00"
"3006782","69.00","8.00","12.00","","0.00"
"3006800","38.00","7.00","6.00","","0.00"
"3006810","81.00","4.00","4.00","","0.00"
"3006837","77.00","2.00","10.00","","0.00"
"3006850","83.00","5.00","10.00","","0.00"
"3006868","70.00","10.00","2.00","","0.00"
"3006885","55.00","8.00","6.00","","0.00"
"3006898","81.00","6.00","15.00","","0.00"
"3006899","87.00","6.00","8.00","","0.00"
"3006906","78.00","3.00","2.00","","0.00"
"3006909","58.00","3.00","14.00","","0.00"
"3006919","55.00","2.00","14.00","","0.00"
"3006921","92.00","10.00","3.00","","0.00"
"3006944","52.00","3.00","2.00","","0.00"
"3006959","73.00","3.00","4.00","","0.00"
"3006961","80.00","3.00","4.00","","0.00"
"3006987","47.00","9.00","2.00","","0.00"
"3007015","30.00","6.00","7.00","","0.00"
"3007019","95.00","7.00","7.00","","0.00"
"3007026","85.00","5.00","3.00","","0.00"
"3007040","95.00","10.00","11.00","","0.00"
"3007090","28.00","3.00","7.00","","0.00"
"3007124","50.00","7.00","6.00","","0.00"
"3007188","51.00","8.00","12.00","","0.00"
"3007190","107.00","4.00","14.00","","0.00"
"3007204","65.00","5.00","13.00","","0.00"
"3007244","50.00","7.00","8.00","","0.00"
"3007270","30.00","10.00","4.00","","0.00"
"3007302","45.00","4.00","7.00","","0.00"
"3007315","37.00","2.00","6.00","","0.00"
"3007316","88.00","6.00","7.00","","0.00"
"3007322","35.00","4.00","7.00","","0.00"
"3007325","103.00","5.00","9.00","","0.00"
"3007327","79.00","4.00","10.00","","0.00"
"3007352","28.00","10.00","2.00","","0.00"
"3007353","86.00","4.00","3.00","","0.00"
"3007354","45.00","8.00","11.00","","0.00"
"3007376","36.00","8.00","4.00","","0.00"
"3007377","95.00","2.00","14.00","","0.00"
"3007385","30.00","6.00","8.00","","0.00"
"3007387","53.00","8.00","9.00","","0.00"
"3007425","69.00","4.00","9.00","","0.00"
"3007429","68.00","10.00","14.00","","0.00"
"3007431","55.00","10.00","2.00","","0.00"
"3007442","84.00","6.00","13.00","","0.00"
"3007444","94.00","9.00","15.00","","0.00"
"3007454","35.00","5.00","2.00","","0.00"
"3007481","45.00","6.00","11.00","","0.00"
"3007487","83.00","9.00","4.00","","0.00"
"3007518","61.00","5.00","11.00","","0.00"
"3007521","88.00","8.00","6.00","","0.00"
"3007536","43.00","4.00","7.00","","0.00"
"3007563","48.00","9.00","7.00","","0.00"
"3007569","79.00","10.00","2.00","","0.00"
"3007570","85.00","2.00","14.00","","0.00"
"3007591","58.00","2.00","6.00","","0.00"
"3007596","69.00","5.00","3.00","","0.00"
"3007624","105.00","10.00","10.00","","0.00"
"3007626","59.00","3.00","11.00","","0.00"
"3007653","48.00","2.00","13.00","","0.00"
"3007660","39.00","7.00","3.00","","0.00"
"3007661","44.00","9.00","8.00","","0.00"
"3007718","38.00","2.00","15.00","","0.00"
"3007727","60.00","8.00","5.00","","0.00"
"3007731","51.00","8.00","10.00","","0.00"
"3007751","35.00","3.00","11.00","","0.00"
"3007759","49.00","9.00","11.00","","0.00"
"3007795","89.00","3.00","11.00","","0.00"
"3007799","37.00","5.00","10.00","","0.00"
"3007820","91.00","10.00","6.00","","0.00"
"3007833","83.00","6.00","13.00","","0.00"
"3007839","92.00","2.00","9.00","","0.00"
"3007840","43.00","6.00","2.00","","0.00"
"3007850","52.00","4.00","8.00","","0.00"
"3007862","87.00","6.00","3.00","","0.00"
"3007908","79.00","10.00","8.00","","0.00"
"3007912","57.00","10.00","6.00","","0.00"
"3007914","95.00","5.00","3.00","","0.00"
"3007921","70.00","8.00","10.00","","0.00"
"3007927","57.00","3.00","9.00","","0.00"
"3007946","78.00","2.00","11.00","","0.00"
"3007964","72.00","6.00","2.00","","0.00"
"3007981","95.00","10.00","9.00","","0.00"
"3008009","58.00","7.00","10.00","","0.00"
"3008013","58.00","2.00","3.00","","0.00"
"3008015","41.00","7.00","7.00","","0.00"
"3008040","44.00","4.00","6.00","","0.00"
"3008063","51.00","10.00","14.00","","0.00"
"3008077","40.00","3.00","15.00","","0.00"
"3008120","103.00","5.00","14.00","","0.00"
"3008124","40.00","10.00","6.00","","0.00"
"3008135","48.00","7.00","6.00","","0.00"
"3008158","95.00","3.00","7.00","","0.00"
"3008216","31.00","5.00","9.00","","0.00"
"3008229","84.00","5.00","13.00","","0.00"
"3008246","32.00","4.00","5.00","","0.00"
"3008258","77.00","5.00","6.00","","0.00"
"3008268","81.00","9.00","14.00","","0.00"
"3008274","84.00","10.00","15.00","","0.00"
"3008277","71.00","4.00","12.00","","0.00"
"3008284","91.00","3.00","6.00","","0.00"
"3008322","96.00","4.00","12.00","","0.00"
"3008340","28.00","2.00","6.00","","0.00"
"3008375","27.00","3.00","3.00","","0.00"
"3008405","77.00","8.00","6.00","","0.00"
"3008408","73.00","10.00","14.00","","0.00"
"3008417","74.00","8.00","12.00","","0.00"
"3008431","48.00","3.00","3.00","","0.00"
"3008438","41.00","9.00","13.00","","0.00"
"3008443","35.00","3.00","13.00","","0.00"
"3008444","69.00","9.00","10.00","","0.00"
"3008450","38.00","6.00","7.00","","0.00"
"3008458","62.00","2.00","10.00","","0.00"
"3008481","50.00","4.00","9.00","","0.00"
"3008488","35.00","3.00","2.00","","0.00"
"3008528","83.00","9.00","11.00","","0.00"
"3008539","40.00","8.00","5.00","","0.00"
"3008572","44.00","4.00","3.00","","0.00"
"3008595","40.00","3.00","7.00","","0.00"
"3008597","47.00","5.00","15.00","","0.00"
"3008601","59.00","7.00","2.00","","0.00"
"3008610","62.00","5.00","4.00","","0.00"
"3008620","55.00","6.00","2.00","","0.00"
"3008646","25.00","2.00","2.00","","0.00"
"3008649","83.00","10.00","15.00","","0.00"
"3008661","67.00","6.00","5.00","","0.00"
"3008691","46.00","4.00","12.00","","0.00"
